,Buurten,Year,Age,Gender,value
273,Ulvenhout,2014-01-01,45-64 jaar,Man,617.0
274,Buitengebied Ulvenhout,2014-01-01,45-64 jaar,Man,39.0
275,Prinsenbeek,2014-01-01,45-64 jaar,Man,1543.0
276,Buitengebied Prinsenbeek,2014-01-01,45-64 jaar,Man,144.0
277,Teteringen,2014-01-01,45-64 jaar,Man,1019.0
278,Vuchtpolder,2014-01-01,45-64 jaar,Man,20.0
279,Buitengebied Teteringen,2014-01-01,45-64 jaar,Man,25.0
280,Valkenberg,2014-01-01,45-64 jaar,Vrouw,172.0
281,Chassé,2014-01-01,45-64 jaar,Vrouw,352.0
282,Fellenoord,2014-01-01,45-64 jaar,Vrouw,171.0
283,Schorsmolen,2014-01-01,45-64 jaar,Vrouw,192.0
284,Station,2014-01-01,45-64 jaar,Vrouw,160.0
285,City,2014-01-01,45-64 jaar,Vrouw,148.0
286,Belcrum,2014-01-01,45-64 jaar,Vrouw,382.0
287,Doornbos-Linie,2014-01-01,45-64 jaar,Vrouw,434.0
288,Biesdonk,2014-01-01,45-64 jaar,Vrouw,620.0
289,Geeren-zuid,2014-01-01,45-64 jaar,Vrouw,362.0
290,Wisselaar,2014-01-01,45-64 jaar,Vrouw,562.0
291,Krogten,2014-01-01,45-64 jaar,Vrouw,34.0
292,Geeren-noord,2014-01-01,45-64 jaar,Vrouw,301.0
293,Waterdonken,2014-01-01,45-64 jaar,Vrouw,61.0
294,Brabantpark,2014-01-01,45-64 jaar,Vrouw,1093.0
295,Sportpark,2014-01-01,45-64 jaar,Vrouw,442.0
296,Zandberg,2014-01-01,45-64 jaar,Vrouw,731.0
297,Heusdenhout,2014-01-01,45-64 jaar,Vrouw,683.0
298,Moleneind-oost,2014-01-01,45-64 jaar,Vrouw,6.0
299,Hoogeind,2014-01-01,45-64 jaar,Vrouw,8.0
300,Blauwe Kei,2014-01-01,45-64 jaar,Vrouw,555.0
301,Ypelaar,2014-01-01,45-64 jaar,Vrouw,778.0
302,Overakker,2014-01-01,45-64 jaar,Vrouw,372.0
303,Ginneken,2014-01-01,45-64 jaar,Vrouw,760.0
304,Mastbos,2014-01-01,45-64 jaar,Vrouw,84.0
305,Boeimeer,2014-01-01,45-64 jaar,Vrouw,807.0
306,Ruitersbos,2014-01-01,45-64 jaar,Vrouw,283.0
307,Haagpoort,2014-01-01,45-64 jaar,Vrouw,278.0
308,Heuvel,2014-01-01,45-64 jaar,Vrouw,788.0
309,Tuinzigt,2014-01-01,45-64 jaar,Vrouw,741.0
310,Princenhage,2014-01-01,45-64 jaar,Vrouw,1114.0
311,Westerpark,2014-01-01,45-64 jaar,Vrouw,386.0
312,Heilaar,2014-01-01,45-64 jaar,Vrouw,58.0
313,Hazeldonk,2014-01-01,45-64 jaar,Vrouw,10.0
314,Steenakker,2014-01-01,45-64 jaar,Vrouw,44.0
315,Effen-Rith,2014-01-01,45-64 jaar,Vrouw,141.0
316,Liesbos,2014-01-01,45-64 jaar,Vrouw,115.0
317,Gageldonk,2014-01-01,45-64 jaar,Vrouw,799.0
318,Kievitsloop,2014-01-01,45-64 jaar,Vrouw,733.0
319,Kesteren,2014-01-01,45-64 jaar,Vrouw,583.0
320,Muizenberg,2014-01-01,45-64 jaar,Vrouw,562.0
321,Heksenwiel,2014-01-01,45-64 jaar,Vrouw,777.0
322,Overkroeten,2014-01-01,45-64 jaar,Vrouw,571.0
323,Kroeten,2014-01-01,45-64 jaar,Vrouw,274.0
324,Emer,2014-01-01,45-64 jaar,Vrouw,5.0
325,Hagebeemd,2014-01-01,45-64 jaar,Vrouw,37.0
326,Bavel,2014-01-01,45-64 jaar,Vrouw,909.0
327,Nieuw Wolfslaar,2014-01-01,45-64 jaar,Vrouw,260.0
328,Buitengebied Bavel,2014-01-01,45-64 jaar,Vrouw,90.0
329,Ulvenhout,2014-01-01,45-64 jaar,Vrouw,639.0
330,Buitengebied Ulvenhout,2014-01-01,45-64 jaar,Vrouw,36.0
331,Prinsenbeek,2014-01-01,45-64 jaar,Vrouw,1531.0
332,Buitengebied Prinsenbeek,2014-01-01,45-64 jaar,Vrouw,131.0
333,Teteringen,2014-01-01,45-64 jaar,Vrouw,995.0
334,Vuchtpolder,2014-01-01,45-64 jaar,Vrouw,20.0
335,Buitengebied Teteringen,2014-01-01,45-64 jaar,Vrouw,21.0
336,Valkenberg,2014-01-01,65-74 jaar,Man,101.0
337,Chassé,2014-01-01,65-74 jaar,Man,170.0
338,Fellenoord,2014-01-01,65-74 jaar,Man,51.0
339,Schorsmolen,2014-01-01,65-74 jaar,Man,87.0
340,Station,2014-01-01,65-74 jaar,Man,42.0
341,City,2014-01-01,65-74 jaar,Man,66.0
342,Belcrum,2014-01-01,65-74 jaar,Man,128.0
343,Doornbos-Linie,2014-01-01,65-74 jaar,Man,156.0
344,Biesdonk,2014-01-01,65-74 jaar,Man,231.0
345,Geeren-zuid,2014-01-01,65-74 jaar,Man,159.0
346,Wisselaar,2014-01-01,65-74 jaar,Man,205.0
347,Krogten,2014-01-01,65-74 jaar,Man,12.0
348,Geeren-noord,2014-01-01,65-74 jaar,Man,101.0
349,Waterdonken,2014-01-01,65-74 jaar,Man,10.0
350,Brabantpark,2014-01-01,65-74 jaar,Man,343.0
351,Sportpark,2014-01-01,65-74 jaar,Man,142.0
352,Zandberg,2014-01-01,65-74 jaar,Man,177.0
353,Heusdenhout,2014-01-01,65-74 jaar,Man,333.0
354,Moleneind-oost,2014-01-01,65-74 jaar,Man,5.0
355,Hoogeind,2014-01-01,65-74 jaar,Man,3.0
356,Blauwe Kei,2014-01-01,65-74 jaar,Man,189.0
357,Ypelaar,2014-01-01,65-74 jaar,Man,357.0
358,Overakker,2014-01-01,65-74 jaar,Man,133.0
359,Ginneken,2014-01-01,65-74 jaar,Man,224.0
360,Mastbos,2014-01-01,65-74 jaar,Man,38.0
361,Boeimeer,2014-01-01,65-74 jaar,Man,281.0
362,Ruitersbos,2014-01-01,65-74 jaar,Man,147.0
363,Haagpoort,2014-01-01,65-74 jaar,Man,62.0
364,Heuvel,2014-01-01,65-74 jaar,Man,289.0
365,Tuinzigt,2014-01-01,65-74 jaar,Man,276.0
366,Princenhage,2014-01-01,65-74 jaar,Man,506.0
367,Westerpark,2014-01-01,65-74 jaar,Man,83.0
368,Heilaar,2014-01-01,65-74 jaar,Man,19.0
369,Hazeldonk,2014-01-01,65-74 jaar,Man,1.0
370,Steenakker,2014-01-01,65-74 jaar,Man,16.0
371,Effen-Rith,2014-01-01,65-74 jaar,Man,65.0
372,Liesbos,2014-01-01,65-74 jaar,Man,56.0
373,Gageldonk,2014-01-01,65-74 jaar,Man,176.0
374,Kievitsloop,2014-01-01,65-74 jaar,Man,130.0
375,Kesteren,2014-01-01,65-74 jaar,Man,95.0
376,Muizenberg,2014-01-01,65-74 jaar,Man,116.0
377,Heksenwiel,2014-01-01,65-74 jaar,Man,179.0
378,Overkroeten,2014-01-01,65-74 jaar,Man,102.0
379,Kroeten,2014-01-01,65-74 jaar,Man,48.0
380,Emer,2014-01-01,65-74 jaar,Man,6.0
381,Hagebeemd,2014-01-01,65-74 jaar,Man,14.0
382,Bavel,2014-01-01,65-74 jaar,Man,327.0
383,Nieuw Wolfslaar,2014-01-01,65-74 jaar,Man,88.0
384,Buitengebied Bavel,2014-01-01,65-74 jaar,Man,28.0
385,Ulvenhout,2014-01-01,65-74 jaar,Man,319.0
386,Buitengebied Ulvenhout,2014-01-01,65-74 jaar,Man,14.0
387,Prinsenbeek,2014-01-01,65-74 jaar,Man,654.0
388,Buitengebied Prinsenbeek,2014-01-01,65-74 jaar,Man,70.0
389,Teteringen,2014-01-01,65-74 jaar,Man,417.0
390,Vuchtpolder,2014-01-01,65-74 jaar,Man,8.0
391,Buitengebied Teteringen,2014-01-01,65-74 jaar,Man,15.0
392,Valkenberg,2014-01-01,65-74 jaar,Vrouw,77.0
393,Chassé,2014-01-01,65-74 jaar,Vrouw,204.0
394,Fellenoord,2014-01-01,65-74 jaar,Vrouw,43.0
395,Schorsmolen,2014-01-01,65-74 jaar,Vrouw,71.0
396,Station,2014-01-01,65-74 jaar,Vrouw,28.0
397,City,2014-01-01,65-74 jaar,Vrouw,62.0
398,Belcrum,2014-01-01,65-74 jaar,Vrouw,138.0
399,Doornbos-Linie,2014-01-01,65-74 jaar,Vrouw,153.0
400,Biesdonk,2014-01-01,65-74 jaar,Vrouw,250.0
401,Geeren-zuid,2014-01-01,65-74 jaar,Vrouw,199.0
402,Wisselaar,2014-01-01,65-74 jaar,Vrouw,224.0
403,Krogten,2014-01-01,65-74 jaar,Vrouw,10.0
404,Geeren-noord,2014-01-01,65-74 jaar,Vrouw,126.0
405,Waterdonken,2014-01-01,65-74 jaar,Vrouw,5.0
406,Brabantpark,2014-01-01,65-74 jaar,Vrouw,430.0
407,Sportpark,2014-01-01,65-74 jaar,Vrouw,161.0
408,Zandberg,2014-01-01,65-74 jaar,Vrouw,162.0
409,Heusdenhout,2014-01-01,65-74 jaar,Vrouw,429.0
410,Moleneind-oost,2014-01-01,65-74 jaar,Vrouw,7.0
411,Hoogeind,2014-01-01,65-74 jaar,Vrouw,4.0
412,Blauwe Kei,2014-01-01,65-74 jaar,Vrouw,194.0
413,Ypelaar,2014-01-01,65-74 jaar,Vrouw,504.0
414,Overakker,2014-01-01,65-74 jaar,Vrouw,144.0
415,Ginneken,2014-01-01,65-74 jaar,Vrouw,263.0
416,Mastbos,2014-01-01,65-74 jaar,Vrouw,34.0
417,Boeimeer,2014-01-01,65-74 jaar,Vrouw,329.0
418,Ruitersbos,2014-01-01,65-74 jaar,Vrouw,163.0
419,Haagpoort,2014-01-01,65-74 jaar,Vrouw,68.0
420,Heuvel,2014-01-01,65-74 jaar,Vrouw,263.0
421,Tuinzigt,2014-01-01,65-74 jaar,Vrouw,270.0
422,Princenhage,2014-01-01,65-74 jaar,Vrouw,457.0
423,Westerpark,2014-01-01,65-74 jaar,Vrouw,118.0
424,Heilaar,2014-01-01,65-74 jaar,Vrouw,20.0
425,Hazeldonk,2014-01-01,65-74 jaar,Vrouw,1.0
426,Steenakker,2014-01-01,65-74 jaar,Vrouw,13.0
427,Effen-Rith,2014-01-01,65-74 jaar,Vrouw,58.0
428,Liesbos,2014-01-01,65-74 jaar,Vrouw,41.0
429,Gageldonk,2014-01-01,65-74 jaar,Vrouw,136.0
