,Buurten,level_of_education,Year,number_of_people,number_of_students
191,Ginneken,Middle level,2019-01-01,950,950
192,Mastbos,Middle level,2019-01-01,160,160
193,Boeimeer,Middle level,2019-01-01,1210,1210
194,Ruitersbos,Middle level,2019-01-01,470,470
195,Haagpoort,Middle level,2019-01-01,550,550
196,Heuvel,Middle level,2019-01-01,2160,2160
197,Tuinzigt,Middle level,2019-01-01,2820,2820
198,Princenhage,Middle level,2019-01-01,2330,2330
199,Westerpark,Middle level,2019-01-01,990,990
200,Heilaar,Middle level,2019-01-01,110,110
202,Steenakker,Middle level,2019-01-01,290,290
203,Effen-Rith,Middle level,2019-01-01,280,280
204,Liesbos,Middle level,2019-01-01,170,170
205,Gageldonk,Middle level,2019-01-01,1490,1490
206,Kievitsloop,Middle level,2019-01-01,1510,1510
207,Kesteren,Middle level,2019-01-01,1400,1400
208,Muizenberg,Middle level,2019-01-01,950,950
209,Heksenwiel,Middle level,2019-01-01,1480,1480
210,Overkroeten,Middle level,2019-01-01,1130,1130
211,Kroeten,Middle level,2019-01-01,740,740
213,Hagebeemd,Middle level,2019-01-01,30,30
214,Bavel,Middle level,2019-01-01,1690,1690
215,Nieuw Wolfslaar,Middle level,2019-01-01,470,470
216,Buitengebied Bavel,Middle level,2019-01-01,190,190
217,Ulvenhout,Middle level,2019-01-01,1090,1090
218,Buitengebied Ulvenhout,Middle level,2019-01-01,100,100
219,Prinsenbeek,Middle level,2019-01-01,3400,3400
220,Buitengebied Prinsenbeek,Middle level,2019-01-01,340,340
221,Teteringen,Middle level,2019-01-01,1950,1950
222,Vuchtpolder,Middle level,2019-01-01,40,40
223,Buitengebied Teteringen,Middle level,2019-01-01,20,20
336,Valkenberg,High level,2019-01-01,780,780
337,Chassé,High level,2019-01-01,1440,1440
338,Fellenoord,High level,2019-01-01,390,390
339,Schorsmolen,High level,2019-01-01,1410,1410
340,Station,High level,2019-01-01,970,970
341,City,High level,2019-01-01,1010,1010
342,Belcrum,High level,2019-01-01,1570,1570
343,Doornbos-Linie,High level,2019-01-01,1020,1020
344,Biesdonk,High level,2019-01-01,830,830
345,Geeren-zuid,High level,2019-01-01,430,430
346,Wisselaar,High level,2019-01-01,680,680
347,Krogten,High level,2019-01-01,50,50
348,Geeren-noord,High level,2019-01-01,290,290
349,Waterdonken,High level,2019-01-01,660,660
350,Brabantpark,High level,2019-01-01,2880,2880
351,Sportpark,High level,2019-01-01,1320,1320
352,Zandberg,High level,2019-01-01,2330,2330
353,Heusdenhout,High level,2019-01-01,1200,1200
354,Moleneind-oost,High level,2019-01-01,30,30
355,Hoogeind,High level,2019-01-01,0,0
356,Blauwe Kei,High level,2019-01-01,1270,1270
357,Ypelaar,High level,2019-01-01,1440,1440
358,Overakker,High level,2019-01-01,1100,1100
359,Ginneken,High level,2019-01-01,2100,2100
360,Mastbos,High level,2019-01-01,190,190
361,Boeimeer,High level,2019-01-01,2350,2350
362,Ruitersbos,High level,2019-01-01,900,900
363,Haagpoort,High level,2019-01-01,620,620
364,Heuvel,High level,2019-01-01,1750,1750
365,Tuinzigt,High level,2019-01-01,1450,1450
366,Princenhage,High level,2019-01-01,2480,2480
367,Westerpark,High level,2019-01-01,1030,1030
368,Heilaar,High level,2019-01-01,170,170
370,Steenakker,High level,2019-01-01,120,120
371,Effen-Rith,High level,2019-01-01,220,220
372,Liesbos,High level,2019-01-01,230,230
373,Gageldonk,High level,2019-01-01,1400,1400
374,Kievitsloop,High level,2019-01-01,1020,1020
375,Kesteren,High level,2019-01-01,620,620
376,Muizenberg,High level,2019-01-01,670,670
377,Heksenwiel,High level,2019-01-01,1050,1050
378,Overkroeten,High level,2019-01-01,810,810
379,Kroeten,High level,2019-01-01,680,680
381,Hagebeemd,High level,2019-01-01,100,100
382,Bavel,High level,2019-01-01,1460,1460
383,Nieuw Wolfslaar,High level,2019-01-01,890,890
384,Buitengebied Bavel,High level,2019-01-01,170,170
385,Ulvenhout,High level,2019-01-01,1550,1550
386,Buitengebied Ulvenhout,High level,2019-01-01,90,90
387,Prinsenbeek,High level,2019-01-01,2710,2710
388,Buitengebied Prinsenbeek,High level,2019-01-01,190,190
389,Teteringen,High level,2019-01-01,2270,2270
390,Vuchtpolder,High level,2019-01-01,10,10
391,Buitengebied Teteringen,High level,2019-01-01,50,50
392,Valkenberg,High level,2020-01-01,800,800
393,Chassé,High level,2020-01-01,1870,1870
394,Fellenoord,High level,2020-01-01,390,390
395,Schorsmolen,High level,2020-01-01,1520,1520
396,Station,High level,2020-01-01,1060,1060
397,City,High level,2020-01-01,1020,1020
398,Belcrum,High level,2020-01-01,1580,1580
399,Doornbos-Linie,High level,2020-01-01,1260,1260
400,Biesdonk,High level,2020-01-01,720,720
401,Geeren-zuid,High level,2020-01-01,470,470
402,Wisselaar,High level,2020-01-01,510,510
403,Krogten,High level,2020-01-01,60,60
404,Geeren-noord,High level,2020-01-01,290,290
405,Waterdonken,High level,2020-01-01,620,620
406,Brabantpark,High level,2020-01-01,2880,2880
407,Sportpark,High level,2020-01-01,1350,1350
408,Zandberg,High level,2020-01-01,2340,2340
409,Heusdenhout,High level,2020-01-01,1210,1210
410,Moleneind-oost,High level,2020-01-01,30,30
411,Hoogeind,High level,2020-01-01,0,0
412,Blauwe Kei,High level,2020-01-01,1310,1310
413,Ypelaar,High level,2020-01-01,1560,1560
414,Overakker,High level,2020-01-01,1150,1150
415,Ginneken,High level,2020-01-01,2360,2360
416,Mastbos,High level,2020-01-01,240,240
417,Boeimeer,High level,2020-01-01,2360,2360
418,Ruitersbos,High level,2020-01-01,890,890
419,Haagpoort,High level,2020-01-01,640,640
420,Heuvel,High level,2020-01-01,1640,1640
421,Tuinzigt,High level,2020-01-01,1560,1560
422,Princenhage,High level,2020-01-01,2450,2450
423,Westerpark,High level,2020-01-01,1050,1050
424,Heilaar,High level,2020-01-01,170,170
426,Steenakker,High level,2020-01-01,130,130
427,Effen-Rith,High level,2020-01-01,230,230
428,Liesbos,High level,2020-01-01,230,230
429,Gageldonk,High level,2020-01-01,1360,1360
430,Kievitsloop,High level,2020-01-01,1020,1020
431,Kesteren,High level,2020-01-01,650,650
432,Muizenberg,High level,2020-01-01,670,670
433,Heksenwiel,High level,2020-01-01,1050,1050
434,Overkroeten,High level,2020-01-01,800,800
435,Kroeten,High level,2020-01-01,680,680
437,Hagebeemd,High level,2020-01-01,90,90
438,Bavel,High level,2020-01-01,1520,1520
439,Nieuw Wolfslaar,High level,2020-01-01,870,870
440,Buitengebied Bavel,High level,2020-01-01,190,190
441,Ulvenhout,High level,2020-01-01,1560,1560
442,Buitengebied Ulvenhout,High level,2020-01-01,80,80
443,Prinsenbeek,High level,2020-01-01,2850,2850
444,Buitengebied Prinsenbeek,High level,2020-01-01,200,200
445,Teteringen,High level,2020-01-01,2430,2430
446,Vuchtpolder,High level,2020-01-01,10,10
447,Buitengebied Teteringen,High level,2020-01-01,50,50
448,Valkenberg,High level,2021-01-01,840,840
449,Chassé,High level,2021-01-01,1490,1490
450,Fellenoord,High level,2021-01-01,380,380
451,Schorsmolen,High level,2021-01-01,1550,1550
452,Station,High level,2021-01-01,1090,1090
453,City,High level,2021-01-01,1090,1090
454,Belcrum,High level,2021-01-01,1570,1570
455,Doornbos-Linie,High level,2021-01-01,1310,1310
456,Biesdonk,High level,2021-01-01,740,740
457,Geeren-zuid,High level,2021-01-01,630,630
458,Wisselaar,High level,2021-01-01,500,500
459,Krogten,High level,2021-01-01,50,50
460,Geeren-noord,High level,2021-01-01,450,450
461,Waterdonken,High level,2021-01-01,620,620
462,Brabantpark,High level,2021-01-01,3100,3100
463,Sportpark,High level,2021-01-01,1370,1370
464,Zandberg,High level,2021-01-01,2310,2310
465,Heusdenhout,High level,2021-01-01,1260,1260
466,Moleneind-oost,High level,2021-01-01,30,30
467,Hoogeind,High level,2021-01-01,0,0
468,Blauwe Kei,High level,2021-01-01,1290,1290
469,Ypelaar,High level,2021-01-01,1530,1530
470,Overakker,High level,2021-01-01,1160,1160
471,Ginneken,High level,2021-01-01,2420,2420
472,Mastbos,High level,2021-01-01,260,260
473,Boeimeer,High level,2021-01-01,2480,2480
474,Ruitersbos,High level,2021-01-01,900,900
475,Haagpoort,High level,2021-01-01,610,610
476,Heuvel,High level,2021-01-01,1710,1710
477,Tuinzigt,High level,2021-01-01,1680,1680
478,Princenhage,High level,2021-01-01,2470,2470
479,Westerpark,High level,2021-01-01,1040,1040
480,Heilaar,High level,2021-01-01,180,180
482,Steenakker,High level,2021-01-01,130,130
483,Effen-Rith,High level,2021-01-01,250,250
484,Liesbos,High level,2021-01-01,250,250
485,Gageldonk,High level,2021-01-01,1370,1370
486,Kievitsloop,High level,2021-01-01,970,970
487,Kesteren,High level,2021-01-01,680,680
488,Muizenberg,High level,2021-01-01,640,640
489,Heksenwiel,High level,2021-01-01,1070,1070
490,Overkroeten,High level,2021-01-01,840,840
491,Kroeten,High level,2021-01-01,660,660
493,Hagebeemd,High level,2021-01-01,80,80
494,Bavel,High level,2021-01-01,1540,1540
495,Nieuw Wolfslaar,High level,2021-01-01,890,890
496,Buitengebied Bavel,High level,2021-01-01,180,180
497,Ulvenhout,High level,2021-01-01,1570,1570
498,Buitengebied Ulvenhout,High level,2021-01-01,100,100
499,Prinsenbeek,High level,2021-01-01,3000,3000
500,Buitengebied Prinsenbeek,High level,2021-01-01,200,200
501,Teteringen,High level,2021-01-01,2540,2540
502,Vuchtpolder,High level,2021-01-01,20,20
503,Buitengebied Teteringen,High level,2021-01-01,40,40
