,Buurten,level_of_education,Year,value
274,Buitengebied Ulvenhout, Midden,2020,
275,Prinsenbeek, Midden,2020,
276,Buitengebied Prinsenbeek, Midden,2020,
277,Teteringen, Midden,2020,
278,Vuchtpolder, Midden,2020,
279,Buitengebied Teteringen, Midden,2020,
280,Valkenberg, Midden,2021,
281,Chassé, Midden,2021,
282,Fellenoord, Midden,2021,
283,Schorsmolen, Midden,2021,
284,Station, Midden,2021,
285,City, Midden,2021,
286,Belcrum, Midden,2021,
287,Doornbos-Linie, Midden,2021,
288,Biesdonk, Midden,2021,
289,Geeren-zuid, Midden,2021,
290,Wisselaar, Midden,2021,
291,Krogten, Midden,2021,
292,Geeren-noord, Midden,2021,
293,Waterdonken, Midden,2021,
294,Brabantpark, Midden,2021,
295,Sportpark, Midden,2021,
296,Zandberg, Midden,2021,
297,Heusdenhout, Midden,2021,
298,Moleneind-oost, Midden,2021,
299,Hoogeind, Midden,2021,
300,Blauwe Kei, Midden,2021,
301,Ypelaar, Midden,2021,
302,Overakker, Midden,2021,
303,Ginneken, Midden,2021,
304,Mastbos, Midden,2021,
305,Boeimeer, Midden,2021,
306,Ruitersbos, Midden,2021,
307,Haagpoort, Midden,2021,
308,Heuvel, Midden,2021,
309,Tuinzigt, Midden,2021,
310,Princenhage, Midden,2021,
311,Westerpark, Midden,2021,
312,Heilaar, Midden,2021,
313,Hazeldonk, Midden,2021,
314,Steenakker, Midden,2021,
315,Effen-Rith, Midden,2021,
316,Liesbos, Midden,2021,
317,Gageldonk, Midden,2021,
318,Kievitsloop, Midden,2021,
319,Kesteren, Midden,2021,
320,Muizenberg, Midden,2021,
321,Heksenwiel, Midden,2021,
322,Overkroeten, Midden,2021,
323,Kroeten, Midden,2021,
324,Emer, Midden,2021,
325,Hagebeemd, Midden,2021,
326,Bavel, Midden,2021,
327,Nieuw Wolfslaar, Midden,2021,
328,Buitengebied Bavel, Midden,2021,
329,Ulvenhout, Midden,2021,
330,Buitengebied Ulvenhout, Midden,2021,
331,Prinsenbeek, Midden,2021,
332,Buitengebied Prinsenbeek, Midden,2021,
333,Teteringen, Midden,2021,
334,Vuchtpolder, Midden,2021,
335,Buitengebied Teteringen, Midden,2021,
336,Valkenberg, Hoog,2019,780
337,Chassé, Hoog,2019,1440
338,Fellenoord, Hoog,2019,390
339,Schorsmolen, Hoog,2019,1410
340,Station, Hoog,2019,970
341,City, Hoog,2019,1010
342,Belcrum, Hoog,2019,1570
343,Doornbos-Linie, Hoog,2019,1020
344,Biesdonk, Hoog,2019,830
345,Geeren-zuid, Hoog,2019,430
346,Wisselaar, Hoog,2019,680
347,Krogten, Hoog,2019,50
348,Geeren-noord, Hoog,2019,290
349,Waterdonken, Hoog,2019,660
350,Brabantpark, Hoog,2019,2880
351,Sportpark, Hoog,2019,1320
352,Zandberg, Hoog,2019,2330
353,Heusdenhout, Hoog,2019,1200
354,Moleneind-oost, Hoog,2019,30
355,Hoogeind, Hoog,2019,0
356,Blauwe Kei, Hoog,2019,1270
357,Ypelaar, Hoog,2019,1440
358,Overakker, Hoog,2019,1100
359,Ginneken, Hoog,2019,2100
360,Mastbos, Hoog,2019,190
361,Boeimeer, Hoog,2019,2350
362,Ruitersbos, Hoog,2019,900
363,Haagpoort, Hoog,2019,620
364,Heuvel, Hoog,2019,1750
365,Tuinzigt, Hoog,2019,1450
366,Princenhage, Hoog,2019,2480
367,Westerpark, Hoog,2019,1030
368,Heilaar, Hoog,2019,170
369,Hazeldonk, Hoog,2019,?
370,Steenakker, Hoog,2019,120
371,Effen-Rith, Hoog,2019,220
372,Liesbos, Hoog,2019,230
373,Gageldonk, Hoog,2019,1400
374,Kievitsloop, Hoog,2019,1020
375,Kesteren, Hoog,2019,620
376,Muizenberg, Hoog,2019,670
377,Heksenwiel, Hoog,2019,1050
378,Overkroeten, Hoog,2019,810
379,Kroeten, Hoog,2019,680
380,Emer, Hoog,2019,?
381,Hagebeemd, Hoog,2019,100
382,Bavel, Hoog,2019,1460
383,Nieuw Wolfslaar, Hoog,2019,890
384,Buitengebied Bavel, Hoog,2019,170
385,Ulvenhout, Hoog,2019,1550
386,Buitengebied Ulvenhout, Hoog,2019,90
387,Prinsenbeek, Hoog,2019,2710
388,Buitengebied Prinsenbeek, Hoog,2019,190
389,Teteringen, Hoog,2019,2270
390,Vuchtpolder, Hoog,2019,10
391,Buitengebied Teteringen, Hoog,2019,50
392,Valkenberg, Hoog,2020,800
393,Chassé, Hoog,2020,1870
394,Fellenoord, Hoog,2020,390
395,Schorsmolen, Hoog,2020,1520
396,Station, Hoog,2020,1060
397,City, Hoog,2020,1020
398,Belcrum, Hoog,2020,1580
399,Doornbos-Linie, Hoog,2020,1260
400,Biesdonk, Hoog,2020,720
401,Geeren-zuid, Hoog,2020,470
402,Wisselaar, Hoog,2020,510
403,Krogten, Hoog,2020,60
404,Geeren-noord, Hoog,2020,290
405,Waterdonken, Hoog,2020,620
406,Brabantpark, Hoog,2020,2880
407,Sportpark, Hoog,2020,1350
408,Zandberg, Hoog,2020,2340
409,Heusdenhout, Hoog,2020,1210
410,Moleneind-oost, Hoog,2020,30
411,Hoogeind, Hoog,2020,0
412,Blauwe Kei, Hoog,2020,1310
413,Ypelaar, Hoog,2020,1560
414,Overakker, Hoog,2020,1150
415,Ginneken, Hoog,2020,2360
416,Mastbos, Hoog,2020,240
417,Boeimeer, Hoog,2020,2360
418,Ruitersbos, Hoog,2020,890
419,Haagpoort, Hoog,2020,640
420,Heuvel, Hoog,2020,1640
421,Tuinzigt, Hoog,2020,1560
422,Princenhage, Hoog,2020,2450
423,Westerpark, Hoog,2020,1050
424,Heilaar, Hoog,2020,170
425,Hazeldonk, Hoog,2020,?
426,Steenakker, Hoog,2020,130
427,Effen-Rith, Hoog,2020,230
428,Liesbos, Hoog,2020,230
429,Gageldonk, Hoog,2020,1360
430,Kievitsloop, Hoog,2020,1020
431,Kesteren, Hoog,2020,650
432,Muizenberg, Hoog,2020,670
433,Heksenwiel, Hoog,2020,1050
434,Overkroeten, Hoog,2020,800
435,Kroeten, Hoog,2020,680
436,Emer, Hoog,2020,?
437,Hagebeemd, Hoog,2020,90
438,Bavel, Hoog,2020,1520
439,Nieuw Wolfslaar, Hoog,2020,870
440,Buitengebied Bavel, Hoog,2020,190
441,Ulvenhout, Hoog,2020,1560
442,Buitengebied Ulvenhout, Hoog,2020,80
443,Prinsenbeek, Hoog,2020,2850
444,Buitengebied Prinsenbeek, Hoog,2020,200
445,Teteringen, Hoog,2020,2430
446,Vuchtpolder, Hoog,2020,10
447,Buitengebied Teteringen, Hoog,2020,50
448,Valkenberg, Hoog,2021,840
449,Chassé, Hoog,2021,1490
450,Fellenoord, Hoog,2021,380
451,Schorsmolen, Hoog,2021,1550
452,Station, Hoog,2021,1090
453,City, Hoog,2021,1090
454,Belcrum, Hoog,2021,1570
455,Doornbos-Linie, Hoog,2021,1310
456,Biesdonk, Hoog,2021,740
457,Geeren-zuid, Hoog,2021,630
458,Wisselaar, Hoog,2021,500
459,Krogten, Hoog,2021,50
460,Geeren-noord, Hoog,2021,450
461,Waterdonken, Hoog,2021,620
462,Brabantpark, Hoog,2021,3100
463,Sportpark, Hoog,2021,1370
464,Zandberg, Hoog,2021,2310
465,Heusdenhout, Hoog,2021,1260
466,Moleneind-oost, Hoog,2021,30
467,Hoogeind, Hoog,2021,0
468,Blauwe Kei, Hoog,2021,1290
469,Ypelaar, Hoog,2021,1530
470,Overakker, Hoog,2021,1160
471,Ginneken, Hoog,2021,2420
472,Mastbos, Hoog,2021,260
473,Boeimeer, Hoog,2021,2480
474,Ruitersbos, Hoog,2021,900
475,Haagpoort, Hoog,2021,610
476,Heuvel, Hoog,2021,1710
477,Tuinzigt, Hoog,2021,1680
478,Princenhage, Hoog,2021,2470
479,Westerpark, Hoog,2021,1040
480,Heilaar, Hoog,2021,180
481,Hazeldonk, Hoog,2021,?
482,Steenakker, Hoog,2021,130
483,Effen-Rith, Hoog,2021,250
484,Liesbos, Hoog,2021,250
485,Gageldonk, Hoog,2021,1370
486,Kievitsloop, Hoog,2021,970
487,Kesteren, Hoog,2021,680
488,Muizenberg, Hoog,2021,640
489,Heksenwiel, Hoog,2021,1070
490,Overkroeten, Hoog,2021,840
491,Kroeten, Hoog,2021,660
492,Emer, Hoog,2021,?
493,Hagebeemd, Hoog,2021,80
494,Bavel, Hoog,2021,1540
495,Nieuw Wolfslaar, Hoog,2021,890
496,Buitengebied Bavel, Hoog,2021,180
497,Ulvenhout, Hoog,2021,1570
498,Buitengebied Ulvenhout, Hoog,2021,100
499,Prinsenbeek, Hoog,2021,3000
500,Buitengebied Prinsenbeek, Hoog,2021,200
501,Teteringen, Hoog,2021,2540
502,Vuchtpolder, Hoog,2021,20
503,Buitengebied Teteringen, Hoog,2021,40
